# x 	 y
2 	 1.36075
3 	 -0.422468
4 	 1.1324
5 	 1.19376
6 	 1.64659
7 	 -1.20979
8 	 -0.659109
9 	 1.07292
10 	 -0.888901
11 	 0.21588
12 	 -0.0904118
13 	 0.515484
14 	 -0.540862
15 	 0.0536036
16 	 1.80892
17 	 1.66478
18 	 0.542847
19 	 0.869188
20 	 -1.43359
21 	 0.427876


# xSpline 	 ySpline 	 derivative 	 integral
7.6 	 -4.68057 	 3.71834 	 2.73875
7.65 	 -4.45506 	 5.30217 	 2.51002
7.7 	 -4.15035 	 6.886 	 2.29456
7.75 	 -3.76646 	 8.46983 	 2.09631
7.8 	 -3.30337 	 10.0537 	 1.91923
7.85 	 -2.76109 	 11.6375 	 1.76729
7.9 	 -2.13962 	 13.2213 	 1.64444
7.95 	 -1.43896 	 14.8051 	 1.55465
8 	 -0.659109 	 16.389 	 1.50187
8.05 	 0.123697 	 14.9233 	 1.48879
8.1 	 0.833218 	 13.4576 	 1.51302
8.15 	 1.46945 	 11.9919 	 1.57089
8.2 	 2.03241 	 10.5262 	 1.65874
8.25 	 2.52207 	 9.0605 	 1.77291
8.3 	 2.93846 	 7.5948 	 1.90973
8.35 	 3.28155 	 6.12911 	 2.06553
8.4 	 3.55137 	 4.66342 	 2.23666
8.45 	 3.7479 	 3.19772 	 2.41945
8.5 	 3.87114 	 1.73203 	 2.61023
8.55 	 3.9211 	 0.266333 	 2.80534
8.6 	 3.89777 	 -1.19936 	 3.00112
8.65 	 3.80116 	 -2.66505 	 3.1939
8.7 	 3.63127 	 -4.13075 	 3.38001
8.75 	 3.38809 	 -5.59644 	 3.5558
8.8 	 3.07162 	 -7.06214 	 3.7176
8.85 	 2.68187 	 -8.52783 	 3.86174
8.9 	 2.21884 	 -9.99352 	 3.98457
8.95 	 1.68252 	 -11.4592 	 4.0824
9 	 1.07292 	 -12.9249 	 4.1516
9.05 	 0.45408 	 -11.8286 	 4.18954
9.1 	 -0.109942 	 -10.7323 	 4.19792
9.15 	 -0.619149 	 -9.63598 	 4.17946
9.2 	 -1.07354 	 -8.53968 	 4.13692
9.25 	 -1.47312 	 -7.44337 	 4.07302
9.3 	 -1.81788 	 -6.34706 	 3.99052
9.35 	 -2.10782 	 -5.25075 	 3.89215
9.4 	 -2.34295 	 -4.15444 	 3.78065
9.45 	 -2.52327 	 -3.05813 	 3.65877
9.5 	 -2.64876 	 -1.96182 	 3.52924
9.55 	 -2.71945 	 -0.86551 	 3.3948
9.6 	 -2.73532 	 0.230799 	 3.25821
9.65 	 -2.69637 	 1.32711 	 3.12218
9.7 	 -2.6026 	 2.42342 	 2.98948
9.75 	 -2.45403 	 3.51973 	 2.86284
9.8 	 -2.25063 	 4.61604 	 2.74499
9.85 	 -1.99242 	 5.71235 	 2.63869
9.9 	 -1.6794 	 6.80865 	 2.54666
9.95 	 -1.31156 	 7.90496 	 2.47166
10 	 -0.888901 	 9.00127 	 2.41642
10.05 	 -0.458579 	 8.21162 	 2.3829
10.1 	 -0.0677387 	 7.42197 	 2.36991
10.15 	 0.283619 	 6.63233 	 2.37547
10.2 	 0.595494 	 5.84268 	 2.39761
10.25 	 0.867886 	 5.05303 	 2.43436
10.3 	 1.1008 	 4.26338 	 2.48374
10.35 	 1.29422 	 3.47373 	 2.54378
10.4 	 1.44817 	 2.68408 	 2.61251
10.45 	 1.56263 	 1.89443 	 2.68794
10.5 	 1.63761 	 1.10478 	 2.76811
10.55 	 1.67311 	 0.315132 	 2.85104
10.6 	 1.66913 	 -0.474518 	 2.93476
10.65 	 1.62566 	 -1.26417 	 3.0173
10.7 	 1.54271 	 -2.05382 	 3.09667
10.75 	 1.42028 	 -2.84347 	 3.17091
10.8 	 1.25836 	 -3.63311 	 3.23804
10.85 	 1.05697 	 -4.42276 	 3.29609
10.9 	 0.816086 	 -5.21241 	 3.34308
10.95 	 0.535724 	 -6.00206 	 3.37704
11 	 0.21588 	 -6.79171 	 3.39599
11.05 	 -0.107492 	 -6.14317 	 3.39857
11.1 	 -0.398437 	 -5.49463 	 3.38579
11.15 	 -0.656955 	 -4.84609 	 3.35927
11.2 	 -0.883046 	 -4.19754 	 3.32063
11.25 	 -1.07671 	 -3.549 	 3.2715
11.3 	 -1.23795 	 -2.90046 	 3.2135
11.35 	 -1.36676 	 -2.25192 	 3.14825
11.4 	 -1.46314 	 -1.60338 	 3.07736
11.45 	 -1.52709 	 -0.954834 	 3.00247
11.5 	 -1.55862 	 -0.306292 	 2.9252
11.55 	 -1.55772 	 0.34225 	 2.84715
11.6 	 -1.5244 	 0.990792 	 2.76996
11.65 	 -1.45864 	 1.63933 	 2.69525
11.7 	 -1.36046 	 2.28788 	 2.62464
11.75 	 -1.22986 	 2.93642 	 2.55975
11.8 	 -1.06682 	 3.58496 	 2.50219
11.85 	 -0.871359 	 4.2335 	 2.45361
11.9 	 -0.64347 	 4.88204 	 2.4156
11.95 	 -0.383155 	 5.53059 	 2.3898
12 	 -0.0904118 	 6.17913 	 2.37782
12.05 	 0.204612 	 5.62181 	 2.3808
12.1 	 0.471769 	 5.06448 	 2.39782
12.15 	 0.71106 	 4.50716 	 2.42751
12.2 	 0.922485 	 3.94984 	 2.46846
12.25 	 1.10604 	 3.39251 	 2.51929
12.3 	 1.26174 	 2.83519 	 2.5786
12.35 	 1.38956 	 2.27787 	 2.645
12.4 	 1.48952 	 1.72054 	 2.71709
12.45 	 1.56162 	 1.16322 	 2.79349
12.5 	 1.60584 	 0.605895 	 2.87279
12.55 	 1.62221 	 0.0485722 	 2.95361
12.6 	 1.6107 	 -0.508751 	 3.03455
12.65 	 1.57133 	 -1.06607 	 3.11421
12.7 	 1.50409 	 -1.6234 	 3.19122
12.75 	 1.40899 	 -2.18072 	 3.26416
12.8 	 1.28602 	 -2.73804 	 3.33165
12.85 	 1.13519 	 -3.29537 	 3.3923
12.9 	 0.956485 	 -3.85269 	 3.44471
12.95 	 0.749917 	 -4.41001 	 3.48748
13 	 0.515484 	 -4.96734 	 3.51923
13.05 	 0.276894 	 -4.57624 	 3.53896
13.1 	 0.0578599 	 -4.18514 	 3.54725
13.15 	 -0.14162 	 -3.79404 	 3.54507
13.2 	 -0.321544 	 -3.40294 	 3.53341
13.25 	 -0.481914 	 -3.01184 	 3.51324
13.3 	 -0.622728 	 -2.62074 	 3.48555
13.35 	 -0.743988 	 -2.22964 	 3.4513
13.4 	 -0.845693 	 -1.83854 	 3.41147
13.45 	 -0.927842 	 -1.44744 	 3.36705
13.5 	 -0.990437 	 -1.05635 	 3.31902
13.55 	 -1.03348 	 -0.665247 	 3.26834
13.6 	 -1.05696 	 -0.274148 	 3.21599
13.65 	 -1.06089 	 0.116952 	 3.16297
13.7 	 -1.04527 	 0.508051 	 3.11023
13.75 	 -1.01009 	 0.89915 	 3.05876
13.8 	 -0.955352 	 1.29025 	 3.00955
13.85 	 -0.881062 	 1.68135 	 2.96356
13.9 	 -0.787217 	 2.07245 	 2.92177
13.95 	 -0.673817 	 2.46355 	 2.88516
14 	 -0.540862 	 2.85465 	 2.85471
14.05 	 -0.40378 	 2.62863 	 2.83114
14.1 	 -0.277999 	 2.40261 	 2.81415
14.15 	 -0.163519 	 2.17659 	 2.80315
14.2 	 -0.0603402 	 1.95057 	 2.7976
14.25 	 0.0315381 	 1.72456 	 2.79693
14.3 	 0.112115 	 1.49854 	 2.80057
14.35 	 0.181392 	 1.27252 	 2.80796
14.4 	 0.239367 	 1.0465 	 2.81852
14.45 	 0.286042 	 0.820484 	 2.8317
14.5 	 0.321416 	 0.594466 	 2.84694
14.55 	 0.345489 	 0.368448 	 2.86366
14.6 	 0.358261 	 0.14243 	 2.8813
14.65 	 0.359732 	 -0.0835882 	 2.89929
14.7 	 0.349902 	 -0.309606 	 2.91708
14.75 	 0.328771 	 -0.535624 	 2.9341
14.8 	 0.296339 	 -0.761642 	 2.94977
14.85 	 0.252607 	 -0.98766 	 2.96354
14.9 	 0.197573 	 -1.21368 	 2.97484
14.95 	 0.131239 	 -1.4397 	 2.98311
15 	 0.0536036 	 -1.66571 	 2.98778
15.05 	 -0.0211295 	 -1.32361 	 2.98852
15.1 	 -0.0787575 	 -0.981508 	 2.98595
15.15 	 -0.11928 	 -0.639405 	 2.98093
15.2 	 -0.142698 	 -0.297302 	 2.97431
15.25 	 -0.149011 	 0.0448005 	 2.96694
15.3 	 -0.138218 	 0.386903 	 2.95969
15.35 	 -0.11032 	 0.729006 	 2.95341
15.4 	 -0.0653173 	 1.07111 	 2.94895
15.45 	 -0.00320929 	 1.41321 	 2.94716
15.5 	 0.0760039 	 1.75532 	 2.94891
15.55 	 0.172322 	 2.09742 	 2.95505
15.6 	 0.285746 	 2.43952 	 2.96643
15.65 	 0.416274 	 2.78162 	 2.98391
15.7 	 0.563908 	 3.12373 	 3.00834
15.75 	 0.728647 	 3.46583 	 3.04058
15.8 	 0.910491 	 3.80793 	 3.08149
15.85 	 1.10944 	 4.15004 	 3.13192
15.9 	 1.32549 	 4.49214 	 3.19272
15.95 	 1.55865 	 4.83424 	 3.26475
16 	 1.80892 	 5.17634 	 3.34887
16.05 	 2.05443 	 4.6443 	 3.44556
16.1 	 2.27335 	 4.11225 	 3.55387
16.15 	 2.46566 	 3.5802 	 3.67245
16.2 	 2.63137 	 3.04815 	 3.79999
16.25 	 2.77047 	 2.5161 	 3.93515
16.3 	 2.88298 	 1.98405 	 4.0766
16.35 	 2.96888 	 1.45201 	 4.223
16.4 	 3.02818 	 0.919958 	 4.37304
16.45 	 3.06088 	 0.38791 	 4.52538
16.5 	 3.06697 	 -0.144139 	 4.67868
16.55 	 3.04646 	 -0.676187 	 4.83163
16.6 	 2.99935 	 -1.20824 	 4.98289
16.65 	 2.92564 	 -1.74028 	 5.13112
16.7 	 2.82532 	 -2.27233 	 5.27501
16.75 	 2.69841 	 -2.80438 	 5.41321
16.8 	 2.54489 	 -3.33643 	 5.5444
16.85 	 2.36476 	 -3.86848 	 5.66726
16.9 	 2.15804 	 -4.40053 	 5.78044
16.95 	 1.92471 	 -4.93257 	 5.88262
17 	 1.66478 	 -5.46462 	 5.97247
17.05 	 1.40241 	 -5.03035 	 6.04905
17.1 	 1.16174 	 -4.59608 	 6.11307
17.15 	 0.942797 	 -4.16182 	 6.16559
17.2 	 0.745563 	 -3.72755 	 6.20771
17.25 	 0.570043 	 -3.29328 	 6.24051
17.3 	 0.416236 	 -2.85901 	 6.26508
17.35 	 0.284142 	 -2.42474 	 6.28249
17.4 	 0.173762 	 -1.99047 	 6.29385
17.45 	 0.0850948 	 -1.5562 	 6.30023
17.5 	 0.0181414 	 -1.12193 	 6.30272
17.55 	 -0.0270985 	 -0.687664 	 6.30241
17.6 	 -0.050625 	 -0.253396 	 6.30038
17.65 	 -0.0524381 	 0.180873 	 6.29771
17.7 	 -0.0325377 	 0.615142 	 6.29549
17.75 	 0.00907614 	 1.04941 	 6.29482
17.8 	 0.0724034 	 1.48368 	 6.29676
17.85 	 0.157444 	 1.91795 	 6.30242
17.9 	 0.264198 	 2.35222 	 6.31287
17.95 	 0.392666 	 2.78649 	 6.3292
18 	 0.542847 	 3.22076 	 6.3525
18.05 	 0.696649 	 2.93131 	 6.38355
18.1 	 0.835978 	 2.64187 	 6.42192
18.15 	 0.960836 	 2.35243 	 6.4669
18.2 	 1.07122 	 2.06299 	 6.51776
18.25 	 1.16713 	 1.77355 	 6.57378
18.3 	 1.24858 	 1.48411 	 6.63424
18.35 	 1.31555 	 1.19467 	 6.6984
18.4 	 1.36804 	 0.905224 	 6.76555
18.45 	 1.40607 	 0.615782 	 6.83496
18.5 	 1.42962 	 0.326341 	 6.90591
18.55 	 1.4387 	 0.0368994 	 6.97768
18.6 	 1.43331 	 -0.252542 	 7.04954
18.65 	 1.41345 	 -0.541984 	 7.12077
18.7 	 1.37911 	 -0.831425 	 7.19065
18.75 	 1.33031 	 -1.12087 	 7.25844
18.8 	 1.26703 	 -1.41031 	 7.32344
18.85 	 1.18927 	 -1.69975 	 7.3849
18.9 	 1.09705 	 -1.98919 	 7.44212
18.95 	 0.990355 	 -2.27863 	 7.49437
19 	 0.869188 	 -2.56807 	 7.54092
19.05 	 0.741447 	 -2.54154 	 7.58118
19.1 	 0.615033 	 -2.51501 	 7.61508
19.15 	 0.489946 	 -2.48848 	 7.6427
19.2 	 0.366185 	 -2.46196 	 7.6641
19.25 	 0.24375 	 -2.43543 	 7.67934
19.3 	 0.122642 	 -2.4089 	 7.6885
19.35 	 0.00286072 	 -2.38237 	 7.69163
19.4 	 -0.115594 	 -2.35584 	 7.68881
19.45 	 -0.232723 	 -2.32931 	 7.68009
19.5 	 -0.348525 	 -2.30278 	 7.66556
19.55 	 -0.463001 	 -2.27625 	 7.64526
19.6 	 -0.57615 	 -2.24972 	 7.61928
19.65 	 -0.687973 	 -2.22319 	 7.58767
19.7 	 -0.798469 	 -2.19666 	 7.5505
19.75 	 -0.907638 	 -2.17013 	 7.50784
19.8 	 -1.01548 	 -2.1436 	 7.45976
19.85 	 -1.122 	 -2.11707 	 7.40632
19.9 	 -1.22719 	 -2.09054 	 7.34758
19.95 	 -1.33105 	 -2.06401 	 7.28362
20 	 -1.43359 	 -2.03748 	 7.2145
20.05 	 -1.52572 	 -1.64759 	 7.14044
20.1 	 -1.59835 	 -1.25769 	 7.06225
20.15 	 -1.65149 	 -0.867797 	 6.98093
20.2 	 -1.68513 	 -0.477903 	 6.89743
20.25 	 -1.69928 	 -0.088008 	 6.81274
20.3 	 -1.69393 	 0.301887 	 6.72783
20.35 	 -1.66909 	 0.691781 	 6.64367
20.4 	 -1.62475 	 1.08168 	 6.56124
20.45 	 -1.56092 	 1.47157 	 6.48152
20.5 	 -1.47759 	 1.86147 	 6.40548
20.55 	 -1.37477 	 2.25136 	 6.33409
20.6 	 -1.25246 	 2.64125 	 6.26832
20.65 	 -1.11065 	 3.03115 	 6.20917
20.7 	 -0.949343 	 3.42104 	 6.15758
20.75 	 -0.768543 	 3.81094 	 6.11456
20.8 	 -0.568249 	 4.20083 	 6.08105
20.85 	 -0.34846 	 4.59073 	 6.05806
20.9 	 -0.109176 	 4.98062 	 6.04653
20.95 	 0.149602 	 5.37052 	 6.04746
